Korean,English
책,book
몇,how many
없다,to not exist
대학교,college
숙제하다,to do homework
이학년,sophomore
음악,music
쇼핑하다,to shop
좁다,to be narrow
남자,man
가끔,"sometimes, occasionally"
크리스마스,Christmas
어느,which
제,my
내일,tomorrow
지하철,subway
식당,restaurant
조용하다,to be quiet
보내다,"to send, to spend time"
오른쪽,right side
걷다,to walk
에,in at on
수요일,Wednesday
뒤에,behind
여자,woman
여동생,younger sister
전공,major
반갑다,glad to see
달,month
오래간만,after a long time
햄버거,hamburger
지금,now
설거지하다,to wash dishes
오전,"before noon, am"
반,half or class
질문,question
걸리다,to take
삼학년,junior
배우다,to learn
무슨,"what, what kind of"
연필,pencil
학기,semester
오후,"afternoon, pm"
아파트,apartment
쓰다,to write
층,floor
만나다,to meet
자전거,bicycle
크다,to be big
여름,summer
인사하다,to greet
뉴욕,New York
여행,travel
오다,to come
시청,city hall
처음,the first time
사전,dictionary
참,"really, truly"
예쁘다,to be pretty
다음,"next, following"
차,car
좀,a little
거기,there
여기,here
살다,to live
지요?,isn't it?
어렵다,to be difficult
텔레비전,television
컴퓨터,computer
이야기하다,"to talk, to chat"
지도,map
재미있다,"to be interesting, fun"
위에,on top of
개,dog
가다,to go
묻다,to ask
인사,greeting
가르치다,to teach
앉다,to sit
분,minute
중국,China
보이다,"to be seen, visible"
흐리다,to be cloudy
캠퍼스,campus
이름,name
형,older brother
한국,Korea
보통,usually
이번,this
교회,church
공원,park
우표,stamp
보스톤,Boston
생물학,biology
말씀,"speech, words"
참,by the way
동네,neighbourhood
가게,store
서점,bookstore
시,hour
수영하다,to swim
달러,dollar
얼마나,how long/how much
볼펜,ball point pen
기숙사,dormitory
년,year
매주,every week
누구,who
하루,
근처,"nearby, vicinity"
하다,to do
언니,older sister
내,my
안에,inside
준비하다,to prepare
계시다,stay
주다,to give
취미,hobby
시험,"test, exam"
역사,history
아니다,to not be
서울,Seoul
운동하다,to exercise
매년,every year
슈퍼,super market
돌다,to turn
같이,together
마시다,to drink
언제,when
못,cannot
알다,to know
많다,to be many
랩,lab
넓다,"to be spacious, wide"
기숙사,dormitory
년,year
매주,every week
누구,who
하루,
근처,"nearby, vicinity"
하다,to do
언니,older sister
내,my
안에,inside
준비하다,to prepare
계시다,stay
주다,to give
취미,hobby
시험,test exam
미안하다,to be sorry
전화,telephone
역,station
로스앤젤레스,Los Angeles
쉽다,to be easy
룸메이트,roommate
생일,birthday
비싸다,to be expensive
덥다,to be hot
저녁,evening
누나,older sister
주,week
금요일,Friday
아니요,no
시간,"hour, time"
읽다,to read
1학년,freshman
어디,where
스포츠,sports
저회,we/us/our
시계,clock
지내다,to get along
백화점,department store
말,"speech, words"
듣다,"to listen, to lift, to take"
춥다,to be cold
작다,to be small
영어,English language
지난,last; this past
부모님,parents
의,of
받다,to receive
전공하다,to major in
내리다,to get off
홍콩,Hong Kong
조금,a little
영국,England
쪽,"side, direction"
매달,every month
수업,"class, course"
액션 영화,action movie
월요일,Monday
열심히,diligently
자주,often frequently
계절,season
사이,"between, relationship"
옆에,next to
거,thing
저,I
음식,food